OBJECTID,GEO_ID,STATE,NAME,LSAD,CENSUSAREA,Fips,Area,Percent_of_US_1997,Percent_of_US_1998,Percent_of_US_1999,Percent_of_US_2000,Percent_of_US_2001,Percent_of_US_2002,Percent_of_US_2003,Percent_of_US_2004,Percent_of_US_2005,Percent_of_US_2006,Percent_of_US_2007,Percent_of_US_2008,Percent_of_US_2009,Percent_of_US_2010,Percent_of_US_2011,Percent_of_US_2012,Percent_of_US_2013,Percent_of_US_2014,Percent_of_US_2015,Percent_of_US_2016,GDP_in_dollars_1997,GDP_in_dollars_1998,GDP_in_dollars_1999,GDP_in_dollars_2000,GDP_in_dollars_2001,GDP_in_dollars_2002,GDP_in_dollars_2003,GDP_in_dollars_2004,GDP_in_dollars_2005,GDP_in_dollars_2006,GDP_in_dollars_2007,GDP_in_dollars_2008,GDP_in_dollars_2009,GDP_in_dollars_2010,GDP_in_dollars_2011,GDP_in_dollars_2012,GDP_in_dollars_2013,GDP_in_dollars_2014,GDP_in_dollars_2015,GDP_in_dollars_2016,Shape__Area,Shape__Length
15,0400000US53,53,Washington, ,66455.521,53000,Washington,2.3,2.3,2.4,2.3,2.3,2.3,2.3,2.2,2.3,2.3,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.5,2.5,2.5,1.93968E+11,2.09988E+11,2.30752E+11,2.37381E+11,2.39397E+11,2.48879E+11,2.58388E+11,2.70385E+11,2.96403E+11,3.16801E+11,3.45971E+11,3.5421E+11,3.48465E+11,3.59694E+11,3.70149E+11,3.88922E+11,4.05561E+11,4.25105E+11,4.46417E+11,4.69739E+11,3.83138E+11,5710169.816
16,0400000US55,55,Wisconsin, ,54157.805,55000,Wisconsin,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.55353E+11,1.63831E+11,1.7362E+11,1.82408E+11,1.89229E+11,1.96373E+11,2.04774E+11,2.1599E+11,2.26325E+11,2.35787E+11,2.43632E+11,2.44546E+11,2.44995E+11,2.52875E+11,2.62463E+11,2.7242E+11,2.81569E+11,2.90889E+11,3.01587E+11,3.09536E+11,2.87414E+11,3482844.959
17,0400000US24,24,Maryland, ,9707.241,24000,Maryland,1.9,1.9,1.9,1.9,1.9,2,2,2,2,2,2,2,2.1,2.1,2.1,2.1,2,2,2,2,1.61164E+11,1.70417E+11,1.80996E+11,1.92565E+11,2.05459E+11,2.17004E+11,2.27841E+11,2.46838E+11,2.63809E+11,2.77634E+11,2.86687E+11,2.94564E+11,3.00929E+11,3.13952E+11,3.2483E+11,3.325E+11,3.39443E+11,3.5043E+11,3.66242E+11,3.7828E+11,44912413368,2881200.411
18,0400000US01,1,Alabama, ,50645.326,1000,Alabama,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.1,1.1,1.1,1.1,1.04218E+11,1.09414E+11,1.15015E+11,1.1902E+11,1.22822E+11,1.27873E+11,1.34388E+11,1.46989E+11,1.5675E+11,1.64468E+11,1.69923E+11,1.72646E+11,1.68315E+11,1.7471E+11,1.80665E+11,1.85878E+11,1.90319E+11,1.94404E+11,1.9998E+11,2.04861E+11,1.90124E+11,2257147.26
19,0400000US02,2,Alaska, ,570640.95,2000,Alaska,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.3,0.3,0.3,25446000000,24030000000,24684000000,26853000000,28553000000,29763000000,32039000000,35195000000,40063000000,44679000000,49197000000,55461000000,50463000000,54134000000,58759000000,60890000000,59808000000,58267000000,53384000000,50713000000,8.20953E+12,63995437.89
20,0400000US04,4,Arizona, ,113594.084,4000,Arizona,1.6,1.6,1.6,1.6,1.6,1.6,1.7,1.7,1.7,1.8,1.8,1.8,1.7,1.7,1.6,1.7,1.6,1.6,1.6,1.6,1.32708E+11,1.43768E+11,1.56145E+11,1.65912E+11,1.72288E+11,1.79605E+11,1.92685E+11,2.04136E+11,2.27358E+11,2.48459E+11,2.62045E+11,2.56718E+11,2.42509E+11,2.45668E+11,2.54192E+11,2.64693E+11,2.70469E+11,2.8079E+11,2.91448E+11,3.02952E+11,4.34108E+11,2876918.651
21,0400000US05,5,Arkansas, ,52035.477,5000,Arkansas,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,60417000000,62275000000,66715000000,68809000000,70849000000,74097000000,78774000000,85261000000,90319000000,94839000000,97384000000,99838000000,98020000000,1.02951E+11,1.07287E+11,1.09226E+11,1.14456E+11,1.17922E+11,1.18677E+11,1.20689E+11,2.05324E+11,2622786.378
22,0400000US06,6,California, ,155779.22,6000,California,12.7,12.8,13,13.3,13,13.1,13.3,13.5,13.6,13.6,13.6,13.6,13.4,13.2,13.2,13.3,13.4,13.6,13.9,14.1,1.08144E+12,1.15112E+12,1.24801E+12,1.363E+12,1.37616E+12,1.43127E+12,1.52347E+12,1.64508E+12,1.76669E+12,1.87952E+12,1.95652E+12,1.98393E+12,1.91212E+12,1.96589E+12,2.0363E+12,2.1312E+12,2.22389E+12,2.34934E+12,2.49162E+12,2.60267E+12,6.501E+11,5262284.391
23,0400000US08,8,Colorado, ,103641.888,8000,Colorado,1.6,1.7,1.7,1.8,1.8,1.8,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.8,1.7,1.8,1.35868E+11,1.50555E+11,1.64835E+11,1.81488E+11,1.88108E+11,1.93068E+11,1.98811E+11,2.04242E+11,2.20454E+11,2.3192E+11,2.45949E+11,2.54784E+11,2.4727E+11,2.53374E+11,2.62719E+11,2.72799E+11,2.86835E+11,3.05309E+11,3.13329E+11,3.23692E+11,4.47302E+11,2707598.166
24,0400000US09,9,Connecticut, ,4842.355,9000,Connecticut,1.6,1.6,1.6,1.7,1.7,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.5,1.5,1.5,1.4,1.4,1.4,1.40108E+11,1.47911E+11,1.54708E+11,1.69004E+11,1.7529E+11,1.78017E+11,1.83533E+11,2.00407E+11,2.1017E+11,2.2142E+11,2.3664E+11,2.38211E+11,2.33562E+11,2.34528E+11,2.34233E+11,2.39462E+11,2.40975E+11,2.44784E+11,2.56306E+11,2.63379E+11,23143106708,778058.6133
